season,snow_in_total,days_with_values,days_missing,coverage_pct
00/01,0.0,0,273,0.0
01/02,0.0,0,273,0.0
02/03,0.0,0,273,0.0
03/04,0.0,0,274,0.0
04/05,0.0,0,273,0.0
05/06,0.0,0,273,0.0
06/07,0.0,0,273,0.0
07/08,0.0,0,274,0.0
08/09,0.0,0,273,0.0
09/10,0.0,0,273,0.0
10/11,0.0,0,273,0.0
11/12,0.0,0,274,0.0
12/13,0.0,0,273,0.0
13/14,0.0,0,273,0.0
14/15,0.0,0,273,0.0
15/16,0.0,0,274,0.0
16/17,0.0,0,273,0.0
17/18,0.0,0,273,0.0
18/19,0.0,0,273,0.0
19/20,0.0,0,274,0.0
20/21,0.0,0,273,0.0
21/22,0.0,0,273,0.0
22/23,0.0,0,273,0.0
23/24,0.0,0,274,0.0
24/25,0.0,0,273,0.0
75/76,0.0,0,274,0.0
76/77,0.0,0,273,0.0
77/78,0.0,0,273,0.0
78/79,0.0,0,273,0.0
79/80,0.0,0,274,0.0
80/81,0.0,0,273,0.0
81/82,0.0,0,273,0.0
82/83,0.0,0,273,0.0
83/84,0.0,0,274,0.0
84/85,0.0,0,273,0.0
85/86,0.0,0,273,0.0
86/87,0.0,0,273,0.0
87/88,0.0,0,274,0.0
88/89,0.0,0,273,0.0
89/90,0.0,0,273,0.0
90/91,0.0,0,273,0.0
91/92,0.0,0,274,0.0
92/93,0.0,0,273,0.0
93/94,0.0,0,273,0.0
94/95,0.0,0,273,0.0
95/96,0.0,0,274,0.0
96/97,0.0,0,273,0.0
97/98,0.0,0,273,0.0
98/99,0.0,0,273,0.0
99/00,0.0,0,274,0.0
